speciesKey,species,scientificName,genus,family,order,class,numberOfOccurrences,iucnRedListCategory
2891760,Oxalis montana,Oxalis montana Raf.,Oxalis,Oxalidaceae,Oxalidales,Magnoliopsida,8475,
7303844,Bursaria spinosa,Bursaria spinosa Cav.,Bursaria,Pittosporaceae,Apiales,Magnoliopsida,8472,
8179794,Dactylorhiza maculata,Dactylorhiza maculata (L.) Soó,Dactylorhiza,Orchidaceae,Asparagales,Liliopsida,8472,
7124257,Banksia marginata,Banksia marginata Cav.,Banksia,Proteaceae,Proteales,Magnoliopsida,8469,LC
2870583,Pistia stratiotes,Pistia stratiotes L.,Pistia,Araceae,Alismatales,Liliopsida,8461,LC
7344850,Rhododendron menziesii,Rhododendron menziesii Craven,Rhododendron,Ericaceae,Ericales,Magnoliopsida,8459,
7887000,Saxifraga granulata,Saxifraga granulata L.,Saxifraga,Saxifragaceae,Saxifragales,Magnoliopsida,8458,
5371714,Achlys triphylla,Achlys triphylla (Sm.) DC.,Achlys,Berberidaceae,Ranunculales,Magnoliopsida,8456,
2908579,Diodia virginiana,Diodia virginiana L.,Diodia,Rubiaceae,Gentianales,Magnoliopsida,8454,
2874545,Marah oregana,Marah oregana (Torr. & A.Gray) Howell,Marah,Cucurbitaceae,Cucurbitales,Magnoliopsida,8453,
2888585,Viburnum tinus,Viburnum tinus L.,Viburnum,Viburnaceae,Dipsacales,Magnoliopsida,8452,LC
2964576,Lupinus bicolor,Lupinus bicolor Lindl.,Lupinus,Fabaceae,Fabales,Magnoliopsida,8433,
3095931,Thelesperma filifolium,Thelesperma filifolium (Hook.) A.Gray,Thelesperma,Asteraceae,Asterales,Magnoliopsida,8426,
2732511,Sabal minor,Sabal minor (Jacq.) Pers.,Sabal,Arecaceae,Arecales,Liliopsida,8419,LC
3188867,Oenothera laciniata,Oenothera laciniata Hill,Oenothera,Onagraceae,Myrtales,Magnoliopsida,8419,
2874496,Bryonia cretica,Bryonia cretica L.,Bryonia,Cucurbitaceae,Cucurbitales,Magnoliopsida,8412,
2752734,Streptopus amplexifolius,Streptopus amplexifolius (L.) DC.,Streptopus,Liliaceae,Liliales,Liliopsida,8407,
5569978,Morus indica,Morus indica L.,Morus,Moraceae,Rosales,Magnoliopsida,8394,DD
2984345,Boehmeria cylindrica,Boehmeria cylindrica (L.) Sw.,Boehmeria,Urticaceae,Rosales,Magnoliopsida,8383,LC
3188786,Chamaenerion latifolium,Chamaenerion latifolium (L.) Sweet,Chamaenerion,Onagraceae,Myrtales,Magnoliopsida,8375,LC
5401760,Ageratum houstonianum,Ageratum houstonianum Mill.,Ageratum,Asteraceae,Asterales,Magnoliopsida,8372,
6063730,Senecio vernalis,Senecio vernalis Waldst. & Kit.,Senecio,Asteraceae,Asterales,Magnoliopsida,8372,
3130472,Eriophyllum lanatum,Eriophyllum lanatum (Pursh) Forbes,Eriophyllum,Asteraceae,Asterales,Magnoliopsida,8371,
3066965,Euphorbia lathyris,Euphorbia lathyris L.,Euphorbia,Euphorbiaceae,Malpighiales,Magnoliopsida,8336,
3170282,Asclepias oenotheroides,Asclepias oenotheroides Cham. & Schltdl.,Asclepias,Apocynaceae,Gentianales,Magnoliopsida,8308,
5636761,Protea repens,Protea repens (L.) L.,Protea,Proteaceae,Proteales,Magnoliopsida,8308,LC
5359395,Trifolium angustifolium,Trifolium angustifolium L.,Trifolium,Fabaceae,Fabales,Magnoliopsida,8305,LC
3190450,Bursera simaruba,Bursera simaruba (L.) Sarg.,Bursera,Burseraceae,Sapindales,Magnoliopsida,8305,LC
3906623,Notholithocarpus densiflorus,"Notholithocarpus densiflorus (Hook. & Arn.) Manos, Cannon & S.H.Oh",Notholithocarpus,Fagaceae,Fagales,Magnoliopsida,8303,LC
3170313,Asclepias viridiflora,Asclepias viridiflora Raf.,Asclepias,Apocynaceae,Gentianales,Magnoliopsida,8300,
3045931,Cardamine bulbifera,Cardamine bulbifera (L.) Crantz,Cardamine,Brassicaceae,Brassicales,Magnoliopsida,8299,
2978335,Senegalia greggii,Senegalia greggii (A.Gray) Britton & Rose,Senegalia,Fabaceae,Fabales,Magnoliopsida,8285,LC
5415024,Odontites vulgaris,Odontites vulgaris Moench,Odontites,Orobanchaceae,Lamiales,Magnoliopsida,8280,
3172574,Spathodea campanulata,Spathodea campanulata Beauverd,Spathodea,Bignoniaceae,Lamiales,Magnoliopsida,8275,LC
